date,aw_acft
1/1/21,0
1/2/21,0
1/3/21,0
1/4/21,0
1/5/21,0
1/6/21,0
1/7/21,0
1/8/21,0
1/9/21,0
1/10/21,0
1/11/21,0
1/12/21,0
1/13/21,0
1/14/21,0
1/15/21,0
1/16/21,0
1/17/21,0
1/18/21,0
1/19/21,0
1/20/21,0
1/21/21,0
1/22/21,0
1/23/21,0
1/24/21,0
1/25/21,0
1/26/21,0
1/27/21,0
1/28/21,0
1/29/21,0
1/30/21,0
1/31/21,0
2/1/21,0
2/2/21,0
2/3/21,0
2/4/21,0
2/5/21,0
2/6/21,0
2/7/21,0
2/8/21,0
2/9/21,0
2/10/21,0
2/11/21,0
2/12/21,0
2/13/21,0
2/14/21,0
2/15/21,0
2/16/21,0
2/17/21,0
2/18/21,0
2/19/21,0
2/20/21,0
2/21/21,0
2/22/21,0
2/23/21,0
2/24/21,0
2/25/21,0
2/26/21,0
2/27/21,0
2/28/21,0
3/1/21,0
3/2/21,0
3/3/21,0
3/4/21,0
3/5/21,0
3/6/21,0
3/7/21,0
3/8/21,0
3/9/21,0
3/10/21,0
3/11/21,0
3/12/21,0
3/13/21,0
3/14/21,0
3/15/21,0
3/16/21,0
3/17/21,0
3/18/21,0
3/19/21,0.012152794
3/20/21,0
3/21/21,0
3/22/21,0
3/23/21,0
3/24/21,0
3/25/21,0
3/26/21,0
3/27/21,0.003130265
3/28/21,0.003130265
3/29/21,0
3/30/21,0
3/31/21,0
4/1/21,0.003130265
4/2/21,0
4/3/21,0.00626053
4/4/21,0
4/5/21,0.003130265
4/6/21,0.012336927
4/7/21,0
4/8/21,0
4/9/21,0
4/10/21,0
4/11/21,0
4/12/21,0
4/13/21,0
4/14/21,0
4/15/21,0
4/16/21,0
4/17/21,0
4/18/21,0
4/19/21,1.307345996
4/20/21,2.561477485
4/21/21,2.743953525
4/22/21,0.822523178
4/23/21,0
4/24/21,0
4/25/21,1.589622251
4/26/21,0.527909996
4/27/21,0
4/28/21,0.119686605
4/29/21,0
4/30/21,0
5/1/21,0.561422245
5/2/21,0.997449755
5/3/21,0.036826648
5/4/21,0
5/5/21,0
5/6/21,0
5/7/21,0.220959887
5/8/21,2.691475552
5/9/21,0.681292984
5/10/21,0
5/11/21,0
5/12/21,0
5/13/21,0
5/14/21,0
5/15/21,1.071287183
5/16/21,2.758868317
5/17/21,2.679138625
5/18/21,2.765128847
5/19/21,2.816502021
5/20/21,2.685951555
5/21/21,2.397598903
5/22/21,2.147177698
5/23/21,1.362401834
5/24/21,0
5/25/21,0
5/26/21,0
5/27/21,0
5/28/21,0
5/29/21,1.067788652
5/30/21,1.708756456
5/31/21,0
6/1/21,0
6/2/21,0
6/3/21,0
6/4/21,0
6/5/21,1.141626081
6/6/21,1.580967988
6/7/21,0.954362577
6/8/21,0.988243093
6/9/21,2.093042526
6/10/21,1.890127696
6/11/21,0
6/12/21,0
6/13/21,0
6/14/21,0
6/15/21,0
6/16/21,0.886785678
6/17/21,1.9477614
6/18/21,2.123056243
6/19/21,1.792352947
6/20/21,1.619635969
6/21/21,0
6/22/21,0
6/23/21,0
6/24/21,0
6/25/21,0
6/26/21,0
6/27/21,0
6/28/21,0.868188221
6/29/21,2.009446035
6/30/21,1.912960218
7/1/21,0.076783561
7/2/21,0
7/3/21,0
7/4/21,0
7/5/21,0
7/6/21,0
7/7/21,0
7/8/21,0.269939328
7/9/21,0.856035427
7/10/21,2.007236436
7/11/21,0.064446634
7/12/21,0
7/13/21,0
7/14/21,0
7/15/21,0
7/16/21,0
7/17/21,0
7/18/21,0
7/19/21,0
7/20/21,0.782013865
7/21/21,2.077575334
7/22/21,1.073865049
7/23/21,2.040196286
7/24/21,0.260732666
7/25/21,0
7/26/21,0
7/27/21,0
7/28/21,0
7/29/21,0
7/30/21,0
7/31/21,0
8/1/21,0
8/2/21,0
8/3/21,0.819024646
8/4/21,2.096172791
8/5/21,0.159643518
8/6/21,0
8/7/21,0
8/8/21,0
8/9/21,0
8/10/21,0
8/11/21,0.459964831
8/12/21,2.062660541
8/13/21,0.610769953
8/14/21,0
8/15/21,0
8/16/21,1.220987507
8/17/21,1.871161973
8/18/21,0
8/19/21,0
8/20/21,0
8/21/21,0
8/22/21,0
8/23/21,0
8/24/21,0
8/25/21,0
8/26/21,0
8/27/21,0
8/28/21,0.352983419
8/29/21,2.023256028
8/30/21,2.047561616
8/31/21,0.165719915
9/1/21,0
9/2/21,0
9/3/21,0
9/4/21,0
9/5/21,0
9/6/21,0
9/7/21,0
9/8/21,0
9/9/21,0
9/10/21,0
9/11/21,0
9/12/21,0
9/13/21,0
9/14/21,0
9/15/21,0
9/16/21,0
9/17/21,1.126158889
9/18/21,1.825312796
9/19/21,0
9/20/21,0
9/21/21,0
9/22/21,0.088936354
9/23/21,2.116979847
9/24/21,2.037618421
9/25/21,2.132262905
9/26/21,2.128948507
9/27/21,0.015283059
9/28/21,0
9/29/21,0
9/30/21,0
10/1/21,0
10/2/21,0
10/3/21,0
10/4/21,0
10/5/21,0
10/6/21,0
10/7/21,0
10/8/21,0
10/9/21,0
10/10/21,0
10/11/21,0
10/12/21,0
10/13/21,0
10/14/21,0
10/15/21,0
10/16/21,0
10/17/21,0
10/18/21,0
10/19/21,0
10/20/21,0
10/21/21,0
10/22/21,0
10/23/21,0
10/24/21,0
10/25/21,0
10/26/21,0
10/27/21,0
10/28/21,0
10/29/21,0
10/30/21,0
10/31/21,0
11/1/21,0
11/2/21,0
11/3/21,0
11/4/21,0
11/5/21,0
11/6/21,0
11/7/21,0
11/8/21,0
11/9/21,0
11/10/21,0
11/11/21,0
11/12/21,0
11/13/21,0
11/14/21,0
11/15/21,0
11/16/21,0
11/17/21,0
11/18/21,0
11/19/21,0
11/20/21,0
11/21/21,0
11/22/21,0
11/23/21,0
11/24/21,0
11/25/21,0
11/26/21,0
11/27/21,0
11/28/21,0
11/29/21,0
11/30/21,0
12/1/21,0
12/2/21,0
12/3/21,0
